-8016	1008	12048
-7536	960	16096
-4752	-816	15616
320	-3536	17392
3744	-6256	13776
6176	-4736	15472
8880	-8160	8480
12176	-10736	1552
12480	-7248	-8416
9280	-3280	-12160
4976	-224	-15984
-800	-992	-18544
-9104	-2272	-13440
-9696	-1600	-13184
-11024	2112	-14320
-10544	8032	-9824
-11040	11248	-4592
-8512	14080	-672
-3408	16944	4656
3952	15440	-1216
8064	12032	-8816
8368	8752	-10848
10784	5824	-11488
12832	-1040	-9824
13552	-4880	-5616
12784	-8000	2240
8288	-10544	11680
2624	-10320	11920
-2816	-9280	14144
-7248	-7008	14800
-12528	-6752	7936
-14400	-7952	2800
-12576	-10320	3296
-10240	-12160	-2624
-6064	-13456	-8512
192	-14384	-8432
6048	-12080	-9344
12880	-5392	-6480
15360	-416	1648
15072	-944	5808
11360	-208	8496
7680	1472	13408
6240	2768	14160
3344	1936	15664
1968	4496	15392
4848	6096	13856
7296	5376	14736
8096	5232	11952
7040	2528	14880
3440	-480	17776
-6224	2064	16256
-11056	9584	8624
-10496	12080	5392
-6800	15584	-752
-4544	16416	-3696
-816	16000	-2448
-960	13296	9552
-8224	4704	14624
-10544	-736	13568
-10544	-8048	10144
-3168	-10928	10992
3728	-8944	12432
8352	-4528	12224
13168	-2608	11536
14272	-1248	5136
15088	-736	2816
15264	624	1152
16192	1168	-3200
13408	-32	-6240
11760	-1696	-10352
10928	-1920	-11808
7056	-448	-14576
688	-544	-17120
-4192	3184	-17504
-8656	6224	-13584
-10224	10624	-9024
-10416	11632	-5024
-9984	12960	2064
-6448	13104	7776
-2208	12256	9296
880	9280	14672
4752	2640	15552
8544	-4736	11408
10688	-6944	9600
12368	-7552	6096
14400	-5808	3936
14688	-448	4320
13456	4736	6352
13488	7136	4720
13632	7616	192
13568	5872	-3856
13216	5536	-6336
13408	3920	-8208
13200	2272	-9232
11856	1584	-11712
12720	1600	-10608
11936	64	-11216
12256	-4720	-9056
12976	-6208	-6000
14400	-6048	1344
14464	-4960	4016
11440	-2896	11824
8208	-1728	13536
2720	-800	14608
-5200	-688	15872
-8576	-480	14112
3344	-272	16432
8880	0	13072
14992	-2208	3168
14384	-5232	-2304
12256	-6752	-7904
10096	-6656	-10336
7616	-6528	-13664
1984	-3616	-16704
-2720	1744	-16432
-6368	9696	-11536
-6480	14224	-5296
-80	16448	560
6064	14144	4768
3728	14752	6704
-1136	13648	9488
-224	9888	13168
-3200	6064	15632
-9584	2752	13168
-14144	-2320	7696
-17088	1312	2768
-16768	4704	-1552
-15136	6416	-2416
-15152	6944	-1664
-14976	6288	-6400
-12944	10096	-3632
-13712	9056	-3456
-3104	15136	-9312
-4176	13824	-10144
1504	10784	-10944
5040	5408	-15152
8560	1904	-13216
9088	224	-14704
11904	-1600	-10448
14352	-2880	-7408
15472	-1984	-2752
15968	656	1088
14160	608	3520
13312	5456	6608
12416	6928	6672
9312	3568	12560
1744	2240	15776
80	-848	17152
-560	-7056	15600
128	-14496	6704
-5552	-14320	-6256
-10192	-6368	-13136
-9200	1712	-15824
-6880	8032	-12192
-5152	14000	-7152
-5872	15216	5904
-4672	14592	8016
-5152	8368	14208
-2080	2736	16304
288	-3312	16112
1728	-8112	15440
5152	-8048	13072
5248	-6448	13984
7280	1040	14208
5168	7552	14064
6384	12016	7776
7792	14032	2352
10528	11456	-3776
13888	6144	-5936
15328	768	-3952
14864	-2672	-2064
15280	-2480	1024
14864	-3008	5712
11952	880	9472
9536	3904	11312
2880	480	16672
2480	-1200	16928
64	-3824	16800
-3136	-7280	14928
-3984	-8736	13200
